genes	FreqDE	ConsistencyDE	ConsistencyToFreq
Rgs2	Rgs2	3	3	1
Rhof	Rhof	3	3	1
Rilpl2	Rilpl2	3	3	1
Rnf128	Rnf128	3	3	1
Rnf4	Rnf4	3	3	1
Rpf2	Rpf2	3	3	1
Rpl13	Rpl13	3	3	1
Rpl28	Rpl28	3	3	1
Rpl35a	Rpl35a	3	3	1
Rps10	Rps10	3	3	1
Rps15a	Rps15a	3	3	1
Rps28	Rps28	3	3	1
Rps5	Rps5	3	3	1
Rrs1	Rrs1	3	3	1
Rtn4	Rtn4	3	3	1
Runx2	Runx2	3	3	1
S100a10	S100a10	3	3	1
S100a4	S100a4	3	3	1
Sbno1	Sbno1	3	3	1
Scamp3	Scamp3	3	3	1
Sdpr	Sdpr	3	3	1
Sema4b	Sema4b	3	3	1
Serpinb6a	Serpinb6a	3	3	1
Sf3a3	Sf3a3	3	3	1
Sgms2	Sgms2	3	3	1
Sh3kbp1	Sh3kbp1	3	3	1
Slc24a5	Slc24a5	3	3	1
Slc25a24	Slc25a24	3	3	1
Slc38a1	Slc38a1	3	3	1
Smarcc1	Smarcc1	3	3	1
Snrnp25	Snrnp25	3	3	1
Snrpc	Snrpc	3	3	1
Snx16	Snx16	3	3	1
Spire2	Spire2	3	3	1
Spns2	Spns2	3	3	1
Srm	Srm	3	3	1
Srxn1	Srxn1	3	3	1
Syap1	Syap1	3	3	1
Syce2	Syce2	3	3	1
Syt8	Syt8	3	3	1
Tbl1x	Tbl1x	3	3	1
Tcp1	Tcp1	3	3	1
Tes	Tes	3	3	1
Tff1	Tff1	3	3	1
Tgif1	Tgif1	3	3	1
Thop1	Thop1	3	3	1
Thumpd3	Thumpd3	3	3	1
Timm50	Timm50	3	3	1
Tm4sf1	Tm4sf1	3	3	1
Tmed5	Tmed5	3	3	1
Tmem120a	Tmem120a	3	3	1
Tomm20	Tomm20	3	3	1
Tomm22	Tomm22	3	3	1
Tomm70a	Tomm70a	3	3	1
Tpm2	Tpm2	3	3	1
Trim28	Trim28	3	3	1
Tspan15	Tspan15	3	3	1
Tspan3	Tspan3	3	3	1
Tspan6	Tspan6	3	3	1
Ttc14	Ttc14	3	3	1
Tuba1c	Tuba1c	3	3	1
Uba52	Uba52	3	3	1
Ube2d3	Ube2d3	3	3	1
Uchl3	Uchl3	3	3	1
Uck2	Uck2	3	3	1
Ugt2b34	Ugt2b34	3	3	1
Utp11l	Utp11l	3	3	1
Uxs1	Uxs1	3	3	1
Vim	Vim	3	3	1
Wdr70	Wdr70	3	3	1
Wfdc1	Wfdc1	3	3	1
Ywhaq	Ywhaq	3	3	1
Zdhhc12	Zdhhc12	3	3	1
Zfand2a	Zfand2a	3	3	1
Zrsr2	Zrsr2	3	3	1
Misp	Misp	3	3	1
Ppp1r14d	Ppp1r14d	3	3	1
Susd3	Susd3	3	3	1
Bche	Bche	3	3	1
Stra8	Stra8	3	3	1
2210407C18Rik	2210407C18Rik	3	3	1
Adh7	Adh7	3	3	1
Otop3	Otop3	3	3	1
Vtcn1	Vtcn1	3	3	1
Chst13	Chst13	3	3	1
1700003F12Rik	1700003F12Rik	2	2	1
1700037H04Rik	1700037H04Rik	2	2	1
2210016L21Rik	2210016L21Rik	2	2	1
2410002F23Rik	2410002F23Rik	2	2	1
2510017J16Rik	2510017J16Rik	2	2	1
2700029M09Rik	2700029M09Rik	2	2	1
2810403A07Rik	2810403A07Rik	2	2	1
4933431E20Rik	4933431E20Rik	2	2	1
9130008F23Rik	9130008F23Rik	2	2	1
Abcb1b	Abcb1b	2	2	1
Abcc1	Abcc1	2	2	1
Abcc3	Abcc3	2	2	1
Abce1	Abce1	2	2	1
Abcf1	Abcf1	2	2	1
Abl2	Abl2	2	2	1
Acp5	Acp5	2	2	1
Acp6	Acp6	2	2	1
Actb	Actb	2	2	1
Adarb1	Adarb1	2	2	1
Adh5	Adh5	2	2	1
Aebp1	Aebp1	2	2	1
Aen	Aen	2	2	1
Aes	Aes	2	2	1
Afg3l2	Afg3l2	2	2	1
Agl	Agl	2	2	1
Agpat4	Agpat4	2	2	1
Agpat9	Agpat9	2	2	1
Agr2	Agr2	2	2	1
Agrn	Agrn	2	2	1
Ahsa2	Ahsa2	2	2	1
AI413582	AI413582	2	2	1
AI467606	AI467606	2	2	1
Aim1	Aim1	2	2	1
Aimp1	Aimp1	2	2	1
Ajuba	Ajuba	2	2	1
Ak3	Ak3	2	2	1
Akr1c12	Akr1c12	2	2	1
Alg10b	Alg10b	2	2	1
Amot	Amot	2	2	1
Ank	Ank	2	2	1
Anxa10	Anxa10	2	2	1
Anxa2	Anxa2	2	2	1
Anxa4	Anxa4	2	2	1
Anxa7	Anxa7	2	2	1
Ap1ar	Ap1ar	2	2	1
Ap1s2	Ap1s2	2	2	1
Ar	Ar	2	2	1
Arhgap24	Arhgap24	2	2	1
Arhgap42	Arhgap42	2	2	1
Arhgap5	Arhgap5	2	2	1
Arhgdig	Arhgdig	2	2	1
Armcx2	Armcx2	2	2	1
Arpc1b	Arpc1b	2	2	1
Arpc3	Arpc3	2	2	1
Ascc3	Ascc3	2	2	1
Asl	Asl	2	2	1
Asna1	Asna1	2	2	1
Asns	Asns	2	2	1
Asph	Asph	2	2	1
Atg9b	Atg9b	2	2	1
Atic	Atic	2	2	1
Atp13a1	Atp13a1	2	2	1
Atxn2l	Atxn2l	2	2	1
AU019823	AU019823	2	2	1
Avpi1	Avpi1	2	2	1
Bag2	Bag2	2	2	1
Baz1a	Baz1a	2	2	1
Bcas2	Bcas2	2	2	1
Bcl2l13	Bcl2l13	2	2	1
Bin1	Bin1	2	2	1
Bnc2	Bnc2	2	2	1
Bod1l	Bod1l	2	2	1
Bok	Bok	2	2	1
Bola2	Bola2	2	2	1
Bzw1	Bzw1	2	2	1
C1galt1	C1galt1	2	2	1
Cab39l	Cab39l	2	2	1
Cacna1a	Cacna1a	2	2	1
Cacna2d1	Cacna2d1	2	2	1
Capn2	Capn2	2	2	1
Capn5	Capn5	2	2	1
Capza1	Capza1	2	2	1
Car9	Car9	2	2	1
Card19	Card19	2	2	1
Cars	Cars	2	2	1
Casc1	Casc1	2	2	1
Casp3	Casp3	2	2	1
Cbarp	Cbarp	2	2	1
Cbfb	Cbfb	2	2	1
Cbx5	Cbx5	2	2	1
Ccdc102a	Ccdc102a	2	2	1
Ccdc3	Ccdc3	2	2	1
Ccdc86	Ccdc86	2	2	1
Ccnd2	Ccnd2	2	2	1
Cct2	Cct2	2	2	1
Cct5	Cct5	2	2	1
Ccz1	Ccz1	2	2	1
Cd109	Cd109	2	2	1
Cd164	Cd164	2	2	1
Cda	Cda	2	2	1
Cdc123	Cdc123	2	2	1
Cdc34	Cdc34	2	2	1
Cdc5l	Cdc5l	2	2	1
Cdca4	Cdca4	2	2	1
Cdca7	Cdca7	2	2	1
Cdh17	Cdh17	2	2	1
Cdh2	Cdh2	2	2	1
Cdk17	Cdk17	2	2	1
Cdk19	Cdk19	2	2	1
Cdk2ap1	Cdk2ap1	2	2	1
Cdk9	Cdk9	2	2	1
Cdkn1c	Cdkn1c	2	2	1
Cdr2	Cdr2	2	2	1
Cebpz	Cebpz	2	2	1
Cenpq	Cenpq	2	2	1
Cep170	Cep170	2	2	1
Cercam	Cercam	2	2	1
Cgref1	Cgref1	2	2	1
Chrd	Chrd	2	2	1
Cirh1a	Cirh1a	2	2	1
Cisd3	Cisd3	2	2	1
Cks1b	Cks1b	2	2	1
Cks2	Cks2	2	2	1
Cldn23	Cldn23	2	2	1
Cmbl	Cmbl	2	2	1
Cmpk1	Cmpk1	2	2	1
Cmtm3	Cmtm3	2	2	1
Cnbp	Cnbp	2	2	1
Comtd1	Comtd1	2	2	1
Cops5	Cops5	2	2	1
Csnk1d	Csnk1d	2	2	1
Cuta	Cuta	2	2	1
Cxcl5	Cxcl5	2	2	1
Cycs	Cycs	2	2	1
Cyfip1	Cyfip1	2	2	1
Cyp20a1	Cyp20a1	2	2	1
Cyr61	Cyr61	2	2	1
Dap3	Dap3	2	2	1
Dcn	Dcn	2	2	1
Ddx1	Ddx1	2	2	1
Ddx39	Ddx39	2	2	1
Def6	Def6	2	2	1
Dennd4a	Dennd4a	2	2	1
Dhcr24	Dhcr24	2	2	1
Dhfr	Dhfr	2	2	1
Dicer1	Dicer1	2	2	1
Dis3	Dis3	2	2	1
Disp1	Disp1	2	2	1
Dlgap1	Dlgap1	2	2	1
Dlst	Dlst	2	2	1
Dlx2	Dlx2	2	2	1
Dmbt1	Dmbt1	2	2	1
Dnajc22	Dnajc22	2	2	1
Dnajc8	Dnajc8	2	2	1
Dohh	Dohh	2	2	1
Dpp3	Dpp3	2	2	1
Dpysl3	Dpysl3	2	2	1
Dusp10	Dusp10	2	2	1
Dusp9	Dusp9	2	2	1
Dync1i2	Dync1i2	2	2	1
Dynlt1b	Dynlt1b	2	2	1
Dynlt1f	Dynlt1f	2	2	1
E330009J07Rik	E330009J07Rik	2	2	1
Ebna1bp2	Ebna1bp2	2	2	1
Ebpl	Ebpl	2	2	1
Edil3	Edil3	2	2	1
Edn1	Edn1	2	2	1
Eef1b2	Eef1b2	2	2	1
Eef2k	Eef2k	2	2	1
Eef2kmt	Eef2kmt	2	2	1
Egfr	Egfr	2	2	1
Ehbp1l1	Ehbp1l1	2	2	1
Eif1a	Eif1a	2	2	1
Eif2s2	Eif2s2	2	2	1
Eif3c	Eif3c	2	2	1
Eif4a1	Eif4a1	2	2	1
Eif4e	Eif4e	2	2	1
Eif4e2	Eif4e2	2	2	1
Eml1	Eml1	2	2	1
Eno1b	Eno1b	2	2	1
Entpd7	Entpd7	2	2	1
Epb41l1	Epb41l1	2	2	1
Epb41l2	Epb41l2	2	2	1
Ephb2	Ephb2	2	2	1
Eps8l3	Eps8l3	2	2	1
Ept1	Ept1	2	2	1
Erc1	Erc1	2	2	1
Erdr1	Erdr1	2	2	1
Ergic1	Ergic1	2	2	1
Eri1	Eri1	2	2	1
Ero1l	Ero1l	2	2	1
Esf1	Esf1	2	2	1
Esrra	Esrra	2	2	1
Ewsr1	Ewsr1	2	2	1
Eya3	Eya3	2	2	1
Ezr	Ezr	2	2	1
F5	F5	2	2	1
Fam136a	Fam136a	2	2	1
Fam171a1	Fam171a1	2	2	1
Fam189b	Fam189b	2	2	1
Fam216a	Fam216a	2	2	1
Fam220a	Fam220a	2	2	1
Fam229b	Fam229b	2	2	1
Fam46c	Fam46c	2	2	1
Fam83e	Fam83e	2	2	1
Fau	Fau	2	2	1
Fbln7	Fbln7	2	2	1
Fbxw8	Fbxw8	2	2	1
Fcf1	Fcf1	2	2	1
Fcmr	Fcmr	2	2	1
Fer	Fer	2	2	1
Fez2	Fez2	2	2	1
Fgfbp1	Fgfbp1	2	2	1
Fjx1	Fjx1	2	2	1
Fkbp3	Fkbp3	2	2	1
Flad1	Flad1	2	2	1
Flnb	Flnb	2	2	1
Flnc	Flnc	2	2	1
Flt1	Flt1	2	2	1
Fmn1	Fmn1	2	2	1
Foxg1	Foxg1	2	2	1
Fscn1	Fscn1	2	2	1
Ftsj3	Ftsj3	2	2	1
Fubp1	Fubp1	2	2	1
Fzd1	Fzd1	2	2	1
Gabarapl1	Gabarapl1	2	2	1
Gabre	Gabre	2	2	1
Gadd45gip1	Gadd45gip1	2	2	1
Gale	Gale	2	2	1
Galnt4	Galnt4	2	2	1
Gar1	Gar1	2	2	1
Gatsl2	Gatsl2	2	2	1
Gchfr	Gchfr	2	2	1
Gda	Gda	2	2	1
Ggta1	Ggta1	2	2	1
Gins4	Gins4	2	2	1
Gipc1	Gipc1	2	2	1
Gjb3	Gjb3	2	2	1
Gjb4	Gjb4	2	2	1
Gle1	Gle1	2	2	1
Glmn	Glmn	2	2	1
Glmp	Glmp	2	2	1
Glud1	Glud1	2	2	1
Gm10020	Gm10020	2	2	1
Gm26652	Gm26652	2	2	1
Gm44275	Gm44275	2	2	1
Gm8186	Gm8186	2	2	1
Gm9843	Gm9843	2	2	1
Gmds	Gmds	2	2	1
Gnb2l1	Gnb2l1	2	2	1
Gng11	Gng11	2	2	1
Gnl2	Gnl2	2	2	1
Gnl3	Gnl3	2	2	1
Gorab	Gorab	2	2	1
Gpatch4	Gpatch4	2	2	1
Gpc6	Gpc6	2	2	1
Gpi1	Gpi1	2	2	1
Gpr137b	Gpr137b	2	2	1
Gpsm2	Gpsm2	2	2	1
Grcc10	Grcc10	2	2	1
Grn	Grn	2	2	1
Grpel1	Grpel1	2	2	1
Grwd1	Grwd1	2	2	1
Gstm7	Gstm7	2	2	1
Gstp1	Gstp1	2	2	1
Gtf2f1	Gtf2f1	2	2	1
Gtf3a	Gtf3a	2	2	1
Gtf3c4	Gtf3c4	2	2	1
Gtpbp2	Gtpbp2	2	2	1
Gtpbp4	Gtpbp4	2	2	1
H2afz	H2afz	2	2	1
Hat1	Hat1	2	2	1
Haus8	Haus8	2	2	1
Hdac3	Hdac3	2	2	1
Hdac6	Hdac6	2	2	1
Hebp2	Hebp2	2	2	1
Hist1h2bc	Hist1h2bc	2	2	1
Hjurp	Hjurp	2	2	1
Hmga2	Hmga2	2	2	1
Hn1	Hn1	2	2	1
Hnf4a	Hnf4a	2	2	1
