genes	FreqDE	ConsistencyDE	ConsistencyToFreq
Ngfrap1	Ngfrap1	3	-3	1
Nod1	Nod1	3	-3	1
Nr4a1	Nr4a1	3	-3	1
Nr4a2	Nr4a2	3	-3	1
Nrp1	Nrp1	3	-3	1
Paqr6	Paqr6	3	-3	1
Pcyt1a	Pcyt1a	3	-3	1
Pdlim2	Pdlim2	3	-3	1
Pex11a	Pex11a	3	-3	1
Phkb	Phkb	3	-3	1
Phldb2	Phldb2	3	-3	1
Pik3ip1	Pik3ip1	3	-3	1
Pkd2	Pkd2	3	-3	1
Pla2g16	Pla2g16	3	-3	1
Plxna4	Plxna4	3	-3	1
Pnpla2	Pnpla2	3	-3	1
Pon3	Pon3	3	-3	1
Ppic	Ppic	3	-3	1
Ppp1r9a	Ppp1r9a	3	-3	1
Pqlc1	Pqlc1	3	-3	1
Prps2	Prps2	3	-3	1
Prr15l	Prr15l	3	-3	1
Ptpn18	Ptpn18	3	-3	1
Ptprm	Ptprm	3	-3	1
Pvrl4	Pvrl4	3	-3	1
Rasgef1a	Rasgef1a	3	-3	1
Rasgef1b	Rasgef1b	3	-3	1
Rassf3	Rassf3	3	-3	1
Rbms3	Rbms3	3	-3	1
Rbpjl	Rbpjl	3	-3	1
Rcan1	Rcan1	3	-3	1
Rftn2	Rftn2	3	-3	1
Rnf141	Rnf141	3	-3	1
Rnpepl1	Rnpepl1	3	-3	1
Rogdi	Rogdi	3	-3	1
RP24-330M21.1	RP24-330M21.1	3	-3	1
Rpl36al	Rpl36al	3	-3	1
Rtkn	Rtkn	3	-3	1
Sec14l2	Sec14l2	3	-3	1
Sepp1	Sepp1	3	-3	1
Sepsecs	Sepsecs	3	-3	1
Slc16a6	Slc16a6	3	-3	1
Slc25a16	Slc25a16	3	-3	1
Slc31a2	Slc31a2	3	-3	1
Slc35g2	Slc35g2	3	-3	1
Slc9a3r2	Slc9a3r2	3	-3	1
Smarca2	Smarca2	3	-3	1
Smim1	Smim1	3	-3	1
Smpd1	Smpd1	3	-3	1
Smtnl2	Smtnl2	3	-3	1
Snhg18	Snhg18	3	-3	1
Snx25	Snx25	3	-3	1
Snx30	Snx30	3	-3	1
Spred1	Spred1	3	-3	1
St3gal1	St3gal1	3	-3	1
St6galnac4	St6galnac4	3	-3	1
Stard3nl	Stard3nl	3	-3	1
Steap4	Steap4	3	-3	1
Stk39	Stk39	3	-3	1
Svil	Svil	3	-3	1
Sypl	Sypl	3	-3	1
Tanc2	Tanc2	3	-3	1
Tceal8	Tceal8	3	-3	1
Tfrc	Tfrc	3	-3	1
Tinag	Tinag	3	-3	1
Tmed3	Tmed3	3	-3	1
Tmem116	Tmem116	3	-3	1
Tmem123	Tmem123	3	-3	1
Tmem159	Tmem159	3	-3	1
Tmem164	Tmem164	3	-3	1
Tmem176a	Tmem176a	3	-3	1
Tmem184a	Tmem184a	3	-3	1
Tmem9b	Tmem9b	3	-3	1
Tnfrsf26	Tnfrsf26	3	-3	1
Tnnt1	Tnnt1	3	-3	1
Toporsos	Toporsos	3	-3	1
Traf1	Traf1	3	-3	1
Trp53inp2	Trp53inp2	3	-3	1
Tsc22d3	Tsc22d3	3	-3	1
Tspan17	Tspan17	3	-3	1
Tubb2a	Tubb2a	3	-3	1
Txlng	Txlng	3	-3	1
Uap1	Uap1	3	-3	1
Ubr1	Ubr1	3	-3	1
Urah	Urah	3	-3	1
Uvrag	Uvrag	3	-3	1
Vamp8	Vamp8	3	-3	1
Vimp	Vimp	3	-3	1
Wnk4	Wnk4	3	-3	1
Xbp1	Xbp1	3	-3	1
Xdh	Xdh	3	-3	1
Yipf6	Yipf6	3	-3	1
Zbtb38	Zbtb38	3	-3	1
Zfp36l1	Zfp36l1	3	-3	1
BC021614	BC021614	3	-3	1
Bcl2a1a	Bcl2a1a	3	-3	1
C6	C6	3	-3	1
Enpep	Enpep	3	-3	1
Fam150a	Fam150a	3	-3	1
Fbp1	Fbp1	3	-3	1
Fbp2	Fbp2	3	-3	1
Gm42722	Gm42722	3	-3	1
Lrp2	Lrp2	3	-3	1
Mlana	Mlana	3	-3	1
Myh7	Myh7	3	-3	1
Rnf186	Rnf186	3	-3	1
Tap1	Tap1	3	-3	1
Arhgef38	Arhgef38	3	-3	1
E130012A19Rik	E130012A19Rik	3	-3	1
Gm16136	Gm16136	3	-3	1
Grap	Grap	3	-3	1
Scgb1c1	Scgb1c1	3	-3	1
Sec14l4	Sec14l4	3	-3	1
5430416O09Rik	5430416O09Rik	3	-3	1
Adrb1	Adrb1	3	-3	1
Ago4	Ago4	3	-3	1
Amigo2	Amigo2	3	-3	1
Atp6v0a4	Atp6v0a4	3	-3	1
C1rl	C1rl	3	-3	1
Cadps2	Cadps2	3	-3	1
Cecr2	Cecr2	3	-3	1
Ciita	Ciita	3	-3	1
Cngb1	Cngb1	3	-3	1
Gjb6	Gjb6	3	-3	1
H2-DMb2	H2-DMb2	3	-3	1
Iigp1	Iigp1	3	-3	1
Lpar3	Lpar3	3	-3	1
Mat1a	Mat1a	3	-3	1
Myom1	Myom1	3	-3	1
Plb1	Plb1	3	-3	1
Pm20d1	Pm20d1	3	-3	1
Rab3c	Rab3c	3	-3	1
Slc26a4	Slc26a4	3	-3	1
Stard8	Stard8	3	-3	1
Taf9b	Taf9b	3	-3	1
Tbc1d4	Tbc1d4	3	-3	1
Corin	Corin	3	-3	1
Cpxm2	Cpxm2	3	-3	1
H2-Eb2	H2-Eb2	3	-3	1
Kcnj13	Kcnj13	3	-3	1
Thrsp	Thrsp	3	-3	1
Kctd8	Kctd8	3	-3	1
0610009L18Rik	0610009L18Rik	2	-2	1
1500011K16Rik	1500011K16Rik	2	-2	1
2010320M18Rik	2010320M18Rik	2	-2	1
6330416G13Rik	6330416G13Rik	2	-2	1
9530082P21Rik	9530082P21Rik	2	-2	1
AA986860	AA986860	2	-2	1
